gene	description	WT_6h_1	WT_6h_2	WT_6h_3	RELA_6h_1	RELA_6h_2	RELA_6h_3
Sdf2	na	580	635	641	665	718	602
Sdf2l1	na	617	557	550	578	547	511
Sdf4	na	4429	4528	4451	4917	4937	4346
Sdha	na	6071	6232	5866	6655	6639	5846
Sdhaf1	na	1206	1236	1146	1066	1067	1000
Sdhaf2	na	1745	1791	1669	1802	1861	1730
Sdhb	na	2160	2256	2319	2359	2327	2144
Sdhc	na	1487	1499	1531	1534	1569	1372
Sdhd	na	2329	2377	2457	2543	2494	2302
Sdk1	na	0	0	0	0	0	0
Sdk2	na	0	0	0	0	0	0
Sdpr	na	0	0	0	2	0	1
Sdr16c5	na	0	0	0	0	0	0
Sdr16c6	na	0	0	0	0	0	0
Sdr39u1	na	1505	1573	1451	1555	1657	1396
Sdr42e1	na	39	45	34	35	44	31
Sdr9c7	na	0	0	0	0	0	0
Sds	na	66	66	60	67	64	57
Sdsl	na	0	0	0	0	0	0
Sebox	na	1	0	0	1	1	1
Sec1	na	0	1	1	0	0	0
Sec11a	na	1626	1720	1764	1761	1726	1665
Sec11c	na	879	880	982	936	936	831
Sec13	na	2558	2581	2530	2698	2691	2389
Sec14l1	na	460	532	463	518	548	469
Sec14l2	na	25	32	25	31	23	25
Sec14l3	na	0	0	0	0	0	0
Sec14l4	na	0	0	0	0	0	0
Sec14l5	na	0	1	0	0	0	0
Sec16a	na	6287	6709	5973	7169	7293	6166
Sec16b	na	5	1	1	4	2	1
Sec22a	na	363	342	380	390	350	316
Sec22b	na	1269	1217	1235	1334	1269	1179
Sec22c	na	143	131	126	145	187	140
Sec23a	na	751	782	724	828	821	756
Sec23b	na	2165	2216	2234	2295	2318	2102
Sec23ip	na	2249	2215	2052	2498	2457	2152
Sec24a	na	1733	1742	1583	1826	1943	1591
Sec24b	na	3052	3038	2780	3400	3402	2790
Sec24c	na	5959	6129	5593	6806	7021	5946
Sec24d	na	62	46	58	57	78	60
Sec31a	na	6034	6096	5716	6657	6974	5827
Sec31b	na	117	111	81	107	98	78
Sec61a1	na	4800	4826	4654	5559	5623	4802
Sec61a2	na	583	608	553	740	812	667
Sec61b	na	753	766	891	786	793	800
Sec61g	na	128	112	136	137	94	167
Sec62	na	2284	2247	2175	2412	2385	2071
Sec63	na	2270	2446	2189	2558	2672	2340
Secisbp2	na	2146	2368	1968	2441	2486	2058
Secisbp2l	na	2247	2316	2120	2567	2641	2299
Sectm1a	na	0	0	0	0	0	0
Sectm1b	na	0	0	0	0	0	1
Seh1l	na	3063	3096	3099	3513	3498	3073
Sel1l	na	2946	3044	2816	3242	3333	2786
Sel1l2	na	0	0	0	0	0	0
Sel1l3	na	19	28	21	7	11	9
Sele	na	5	3	5	7	7	6
Selenbp1	na	10	4	11	10	5	2
Selenbp2	na	0	0	0	0	0	0
Selk	na	478	533	545	550	536	525
Sell	na	1750	1834	1829	2377	2366	2009
Selm	na	4	3	2	0	2	4
Selp	na	2	3	3	3	6	1
Selplg	na	905	885	814	849	827	755
Sema3a	na	0	0	0	1	0	1
Sema3b	na	13	21	16	15	20	12
Sema3c	na	0	0	0	0	0	0
Sema3d	na	0	1	0	0	0	2
Sema3e	na	0	0	0	0	0	0
Sema3f	na	4	2	4	4	1	5
Sema3g	na	0	0	1	1	3	1
Sema4a	na	161	170	190	209	231	213
Sema4b	na	1673	1684	1513	1595	1655	1398
Sema4c	na	3	3	5	4	10	6
Sema4d	na	4778	5023	4370	4489	4457	3661
Sema4f	na	6	4	2	6	11	5
Sema4g	na	28	29	21	19	30	23
Sema5a	na	49	46	49	62	60	71
Sema5b	na	0	0	0	0	0	0
Sema6a	na	0	2	2	3	2	0
Sema6b	na	10	13	11	7	11	2
Sema6c	na	5	4	3	5	3	7
Sema6d	na	67	82	79	75	79	68
Sema7a	na	2611	2665	2408	2931	3177	2562
Senp1	na	2493	2544	2436	2735	2788	2339
Senp2	na	2908	3036	2805	3184	3359	2892
Senp3	na	3148	3228	3080	3696	3641	3177
Senp5	na	2308	2430	2158	2642	2616	2238
Senp6	na	4925	5014	4658	5588	5457	4901
Senp7	na	500	521	491	470	494	418
Senp8	na	215	218	233	215	221	192
15-Sep	na	4062	4070	4605	4313	4197	4357
Sephs1	na	1377	1367	1340	1473	1512	1357
Sephs2	na	1372	1282	1336	1641	1617	1413
Sepn1	na	44	45	53	40	57	62
Sepp1	na	143	191	175	176	173	187
Sepsecs	na	386	398	348	409	414	350
1-Sep	na	3635	3701	3378	3588	3792	3231
10-Sep	na	112	112	97	102	105	75
11-Sep	na	4373	4327	4229	5340	5243	4882
12-Sep	na	0	0	0	0	0	0
14-Sep	na	0	1	0	0	0	0
2-Sep	na	3653	4033	3870	4320	4315	4054
3-Sep	na	0	1	1	0	1	0
4-Sep	na	3	3	5	5	8	7
5-Sep	na	4	5	4	5	9	1
6-Sep	na	4070	3970	3840	4255	4323	3708
7-Sep	na	10150	10193	10380	11498	10990	10735
8-Sep	na	5	4	10	10	4	5
9-Sep	na	379	348	288	361	399	304
Sepw1	na	1873	1848	1778	1722	1704	1541
Sepx1	na	555	507	510	509	524	455
Serac1	na	476	489	432	534	552	488
Serbp1	na	22478	22164	23318	24886	24734	23279
Serf1	na	76	82	99	88	103	87
Serf2	na	560	604	562	675	645	592
Sergef	na	242	272	290	282	324	271
Serhl	na	155	165	156	140	138	115
Serinc1	na	2699	2757	2895	3055	2943	2741
Serinc2	na	0	0	0	1	0	0
Serinc3	na	26351	27301	27167	27132	27601	24226
Serinc4	na	75	94	78	88	91	84
Serinc5	na	665	681	657	768	823	663
Serp1	na	10442	11006	11225	11290	11418	9926
Serp2	na	2	10	7	10	12	6
Serpina10	na	0	0	0	0	0	0
Serpina11	na	0	0	0	1	0	0
Serpina12	na	0	1	0	0	0	0
Serpina1a	na	0	0	0	0	0	0
Serpina1b	na	0	0	0	0	0	0
Serpina1c	na	0	0	0	0	0	0
Serpina1d	na	0	0	0	0	0	0
